PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,FamilySize,Title,TravelClass
41,0,2,Passenger_41,female,16.0,3,1,TKT52674,171.69,,C,5,Mrs,First
42,0,3,Passenger_42,female,20.5,2,1,TKT92476,72.16,,C,4,Master,Economy
43,0,1,Passenger_43,male,,3,0,TKT39831,207.78,C123,Q,4,Mr,First
44,1,1,Passenger_44,female,32.5,1,1,TKT67174,186.27,C85,S,3,Master,Economy
45,0,1,Passenger_45,male,34.9,0,1,TKT21279,198.31,C85,C,2,Mr,First
46,1,1,Passenger_46,male,,1,1,TKT48220,34.18,E46,S,3,Miss,Business
47,0,1,Passenger_47,female,38.9,3,2,TKT70610,39.43,B28,C,6,Mr,First
48,0,3,Passenger_48,male,45.5,2,2,TKT62719,75.19,,Q,5,Mrs,Business
49,0,2,Passenger_49,female,35.7,2,0,TKT63051,131.93,,S,3,Miss,First
50,0,3,Passenger_50,female,26.6,3,0,TKT82013,188.26,,C,4,Mrs,Business
51,1,3,Passenger_51,male,39.4,2,1,TKT66652,209.95,,Q,4,Mrs,Economy
52,1,2,Passenger_52,male,56.6,4,2,TKT75524,177.56,E46,Q,7,Mrs,First
53,1,2,Passenger_53,male,28.1,0,3,TKT92936,232.51,,Q,4,Master,Economy
54,1,2,Passenger_54,male,16.4,0,3,TKT16470,185.99,C123,S,4,Mrs,Business
55,0,3,Passenger_55,female,45.5,0,1,TKT77598,80.04,E46,S,2,Miss,First
56,1,2,Passenger_56,female,28.3,2,1,TKT51798,69.94,,Q,4,Mr,First
57,0,3,Passenger_57,female,1.0,2,2,TKT63473,175.57,,S,5,Mrs,Economy
58,0,2,Passenger_58,male,41.9,1,2,TKT29880,52.25,C123,C,4,Miss,First
59,0,3,Passenger_59,male,22.5,1,2,TKT54439,27.72,,Q,4,Mrs,First
60,0,2,Passenger_60,male,28.7,0,0,TKT24308,135.39,D56,Q,1,Mr,Economy
61,0,2,Passenger_61,female,34.6,4,0,TKT45081,206.3,,S,5,Miss,First
62,0,3,Passenger_62,male,32.7,1,1,TKT85242,29.84,,Q,3,Miss,Economy
63,1,3,Passenger_63,female,39.9,1,0,TKT60383,199.01,C85,C,2,Mr,Economy
64,0,1,Passenger_64,male,,2,2,TKT19837,203.84,,S,5,Miss,Economy
65,0,3,Passenger_65,female,37.2,4,2,TKT62151,123.16,D56,S,7,Mr,Economy
66,0,3,Passenger_66,female,26.4,0,0,TKT46824,19.04,,Q,1,Miss,Economy
67,0,3,Passenger_67,male,,1,3,TKT43073,47.77,,Q,5,Miss,Business
68,1,3,Passenger_68,male,38.6,4,1,TKT36299,178.32,,Q,6,Mr,Business
69,0,2,Passenger_69,female,16.9,4,3,TKT68861,179.39,,S,8,Mr,Economy
70,1,1,Passenger_70,female,,0,1,TKT40063,225.1,D56,Q,2,Miss,Business
71,1,2,Passenger_71,male,22.5,4,3,TKT79453,147.76,C123,C,8,Miss,Business
72,0,3,Passenger_72,male,41.3,4,0,TKT78472,35.41,,Q,5,Mr,First
73,0,3,Passenger_73,female,,4,1,TKT24506,34.75,,Q,6,Master,Economy
74,1,2,Passenger_74,male,55.7,1,1,TKT89854,181.68,D56,S,3,Mr,Business
75,1,1,Passenger_75,female,26.9,0,1,TKT36026,50.03,,Q,2,Miss,First
76,1,3,Passenger_76,female,25.1,4,2,TKT37672,85.45,,S,7,Miss,First
77,1,3,Passenger_77,male,29.7,4,2,TKT48417,124.37,,Q,7,Miss,Economy
78,0,3,Passenger_78,male,,1,3,TKT62413,11.07,nan,C,5,Mr,Economy
79,0,1,Passenger_79,male,41.2,0,0,TKT75066,65.96,,C,1,Miss,First
80,0,2,Passenger_80,male,7.4,2,2,TKT69213,104.93,,S,5,Master,Economy
81,1,1,Passenger_81,male,15.2,1,1,TKT60971,73.51,,S,3,Mrs,Economy
82,1,3,Passenger_82,female,15.1,0,2,TKT37281,38.41,,Q,3,Master,First
83,0,1,Passenger_83,female,43.3,4,0,TKT38091,183.36,,Q,5,Mr,First
84,0,3,Passenger_84,male,,0,2,TKT60494,204.22,,C,3,Miss,Economy
85,0,2,Passenger_85,male,28.5,0,1,TKT28610,68.08,,Q,2,Mr,Business
86,0,3,Passenger_86,male,27.6,0,3,TKT11079,194.73,C123,C,4,Mrs,Economy
87,1,3,Passenger_87,female,31.0,2,1,TKT56751,99.46,D56,S,4,Mr,Business
88,1,3,Passenger_88,male,46.3,0,0,TKT96126,,nan,Q,1,Miss,First
89,1,1,Passenger_89,male,17.0,2,3,TKT65432,214.72,C123,S,6,Mrs,Business
90,0,1,Passenger_90,female,33.3,4,2,TKT40951,188.74,D56,Q,7,Mrs,First
91,0,1,Passenger_91,female,43.7,2,2,TKT90863,202.25,,C,5,Miss,Economy
92,1,3,Passenger_92,male,37.0,4,2,TKT88291,38.53,,,7,Miss,Economy
93,1,3,Passenger_93,male,32.7,4,3,TKT69872,22.08,C85,S,8,Miss,First
94,0,3,Passenger_94,male,44.0,2,1,TKT17235,223.88,,Q,4,Mr,First
95,1,3,Passenger_95,female,1.0,1,3,TKT92733,100.02,,S,5,Master,First
96,0,3,Passenger_96,male,39.5,3,3,TKT72712,75.53,C123,C,7,Mr,Economy
97,0,1,Passenger_97,male,20.8,0,0,TKT31473,182.55,,S,1,Mr,Economy
98,0,3,Passenger_98,male,4.4,3,3,TKT77567,209.92,nan,S,7,Master,Business
99,0,2,Passenger_99,female,37.2,0,2,TKT89823,216.31,,,3,Miss,First
100,0,2,Passenger_100,female,,0,1,TKT42230,82.42,C123,S,2,Miss,Business
101,0,3,Passenger_101,male,28.1,4,1,TKT94573,213.79,nan,Q,6,Master,Economy
102,1,1,Passenger_102,male,,0,1,TKT78876,15.03,C123,Q,2,Master,Business
103,0,1,Passenger_103,female,,0,2,TKT50644,17.17,C123,S,3,Mr,Business
104,0,3,Passenger_104,female,,2,2,TKT58664,157.76,E46,C,5,Mrs,Economy
105,1,1,Passenger_105,female,53.0,3,2,TKT55203,20.46,C85,Q,6,Master,Economy
106,0,3,Passenger_106,female,40.4,2,2,TKT76677,84.53,,S,5,Mr,First
107,0,2,Passenger_107,female,31.1,0,2,TKT35425,169.83,C123,Q,3,Mrs,Business
108,1,2,Passenger_108,female,7.6,4,3,TKT94817,87.63,C85,C,8,Miss,Economy
109,0,2,Passenger_109,female,,2,2,TKT95961,49.0,nan,C,5,Miss,Economy
110,0,2,Passenger_110,female,,2,2,TKT79806,73.93,,Q,5,Mr,Business
111,0,3,Passenger_111,female,60.4,1,2,TKT52814,117.11,C123,C,4,Mr,Economy
112,0,2,Passenger_112,male,27.5,0,2,TKT80219,121.47,,S,3,Master,First
113,1,3,Passenger_113,male,31.7,4,1,TKT59646,196.84,,S,6,Miss,First
114,1,3,Passenger_114,male,37.7,2,2,TKT49884,188.79,,Q,5,Mr,Business
115,1,3,Passenger_115,female,30.6,2,3,TKT79322,116.92,nan,C,6,Miss,First
116,1,3,Passenger_116,male,53.7,4,3,TKT31650,212.19,nan,S,8,Miss,Economy
117,1,3,Passenger_117,female,,0,3,TKT19190,,C123,S,4,Master,Economy
118,0,1,Passenger_118,female,,1,0,TKT48196,67.56,,S,2,Mrs,Economy
119,1,1,Passenger_119,male,19.6,2,1,TKT49449,207.85,,Q,4,Master,Economy
120,0,2,Passenger_120,female,,1,2,TKT49661,97.61,nan,Q,4,Mr,Business
121,1,3,Passenger_121,male,21.4,3,0,TKT39709,245.39,nan,S,4,Master,First
122,1,1,Passenger_122,male,29.5,0,2,TKT90428,119.23,,S,3,Master,First
123,0,3,Passenger_123,male,24.0,3,0,TKT85179,199.02,,C,4,Miss,Economy
124,0,3,Passenger_124,female,,3,0,TKT19943,103.57,,C,4,Master,Business
125,0,2,Passenger_125,male,10.3,3,3,TKT53240,109.11,D56,C,7,Mr,Economy
126,0,3,Passenger_126,female,28.8,0,3,TKT55760,98.81,,Q,4,Mrs,Economy
127,1,1,Passenger_127,male,8.9,0,0,TKT31042,181.17,,,1,Master,Business
128,1,1,Passenger_128,male,40.6,4,3,TKT53894,139.14,C123,Q,8,Master,Business
129,0,3,Passenger_129,male,31.2,1,0,TKT16869,236.23,,S,2,Mrs,Economy
130,0,3,Passenger_130,female,,1,1,TKT71078,66.47,E46,C,3,Mr,First
131,0,3,Passenger_131,female,25.7,4,3,TKT66759,29.64,C85,C,8,Mr,Economy
132,0,2,Passenger_132,female,19.5,4,3,TKT54306,101.35,B28,C,8,Master,First
133,0,2,Passenger_133,male,34.5,3,3,TKT65371,156.09,C123,C,7,Miss,First
134,0,3,Passenger_134,male,48.8,4,1,TKT30918,215.9,,S,6,Master,Business
135,1,3,Passenger_135,female,3.7,2,0,TKT38379,89.82,D56,C,3,Mrs,Business
136,0,3,Passenger_136,female,31.6,1,2,TKT93232,165.18,,S,4,Mrs,Economy
137,0,2,Passenger_137,female,27.8,4,3,TKT12962,90.8,,S,8,Mrs,First
138,1,3,Passenger_138,female,39.4,2,0,TKT23851,156.22,,Q,3,Master,First
139,0,2,Passenger_139,female,33.0,2,1,TKT55747,221.78,,C,4,Master,Economy
140,1,1,Passenger_140,female,19.5,2,2,TKT62349,61.68,,C,5,Mr,Economy
141,1,3,Passenger_141,male,25.5,2,3,TKT80832,104.04,nan,Q,6,Miss,Economy
142,0,1,Passenger_142,female,18.9,3,1,TKT66356,248.35,,S,5,Master,Business
143,0,3,Passenger_143,male,,2,1,TKT24745,217.8,,C,4,Mr,Economy
144,0,2,Passenger_144,male,30.3,3,2,TKT15730,143.34,E46,S,6,Master,Economy
145,0,1,Passenger_145,female,56.6,3,0,TKT23921,131.57,,Q,4,Mr,First
146,0,3,Passenger_146,female,29.2,2,3,TKT81138,74.73,,S,6,Mr,Economy
147,0,3,Passenger_147,male,,1,3,TKT93111,131.72,E46,C,5,Miss,First
148,0,3,Passenger_148,female,8.8,2,0,TKT29023,212.8,,S,3,Master,First
149,0,3,Passenger_149,female,4.8,2,0,TKT55349,172.87,C123,S,3,Mr,Business
150,0,3,Passenger_150,male,7.8,2,0,TKT91533,76.06,,C,3,Mrs,Economy
151,1,3,Passenger_151,male,33.7,1,2,TKT93286,54.36,,C,4,Mrs,Economy
152,0,3,Passenger_152,male,37.1,0,2,TKT51979,69.98,,S,3,Mrs,First
153,0,2,Passenger_153,female,7.9,0,3,TKT32837,46.59,,,4,Miss,Business
154,0,3,Passenger_154,male,42.5,3,2,TKT24997,28.43,,Q,6,Mr,Business
155,1,1,Passenger_155,female,23.2,3,1,TKT98603,107.69,E46,C,5,Miss,Economy
156,0,3,Passenger_156,male,,1,3,TKT55039,32.76,C85,S,5,Master,First
157,1,3,Passenger_157,male,52.6,4,2,TKT30923,47.12,,C,7,Master,Economy
158,1,1,Passenger_158,male,42.6,0,0,TKT18876,139.09,B28,Q,1,Mr,Economy
159,0,3,Passenger_159,female,26.2,3,1,TKT70973,45.33,D56,S,5,Mrs,Economy
160,1,3,Passenger_160,female,17.5,0,0,TKT12887,20.65,C85,S,1,Mr,Economy
161,0,1,Passenger_161,male,,1,3,TKT73723,82.76,,S,5,Mr,First
162,1,3,Passenger_162,male,19.9,1,0,TKT52422,58.98,B28,C,2,Mr,Business
163,1,3,Passenger_163,male,27.0,4,2,TKT61413,131.25,,Q,7,Miss,Economy
164,0,1,Passenger_164,female,16.2,4,2,TKT12841,30.08,,C,7,Master,Economy
165,0,3,Passenger_165,male,28.2,1,3,TKT38756,189.18,B28,S,5,Mr,Economy
166,1,2,Passenger_166,female,31.1,3,0,TKT81576,227.03,D56,Q,4,Mr,Economy
167,0,3,Passenger_167,male,26.9,0,3,TKT20304,187.14,,S,4,Mr,Business
168,0,3,Passenger_168,male,20.9,2,0,TKT40341,135.54,,S,3,Miss,Business
169,0,3,Passenger_169,male,32.4,4,1,TKT14758,215.86,D56,C,6,Miss,Business
170,0,3,Passenger_170,male,36.2,2,2,TKT27010,175.26,D56,S,5,Miss,Business
171,1,3,Passenger_171,male,14.7,3,3,TKT70758,7.59,,Q,7,Mr,Economy
172,0,3,Passenger_172,male,49.8,4,1,TKT41658,101.55,nan,S,6,Mrs,First
173,0,2,Passenger_173,female,28.6,2,1,TKT59002,213.48,,S,4,Mrs,Business
174,0,3,Passenger_174,male,30.3,3,3,TKT11375,89.74,,C,7,Mrs,Business
175,1,1,Passenger_175,female,39.9,0,3,TKT32092,13.63,C123,Q,4,Master,Economy
176,0,3,Passenger_176,male,33.3,3,1,TKT10490,187.81,,C,5,Mr,Economy
177,1,1,Passenger_177,male,43.3,4,0,TKT13729,201.5,D56,S,5,Mrs,Economy
178,0,1,Passenger_178,female,34.0,1,1,TKT15974,44.35,,C,3,Mrs,Economy
179,1,1,Passenger_179,male,21.4,0,3,TKT95216,136.65,,C,4,Mrs,First
180,0,3,Passenger_180,female,35.1,2,1,TKT93860,52.03,B28,C,4,Mr,First
181,0,2,Passenger_181,female,14.0,4,0,TKT31398,181.21,,C,5,Mrs,Business
182,0,3,Passenger_182,male,31.5,1,2,TKT44650,71.53,,,4,Mrs,First
183,1,1,Passenger_183,female,,3,2,TKT31292,82.47,,S,6,Mr,Business
184,1,2,Passenger_184,female,27.1,1,1,TKT13159,212.02,C123,Q,3,Master,Business
185,0,3,Passenger_185,male,28.2,4,0,TKT72766,121.7,,C,5,Miss,First
186,1,3,Passenger_186,female,3.7,4,2,TKT27065,169.09,E46,C,7,Mrs,Business
187,1,2,Passenger_187,male,22.3,1,1,TKT31638,103.58,C123,Q,3,Miss,Economy
188,0,3,Passenger_188,male,,3,1,TKT11073,78.01,C123,C,5,Master,Business
189,0,3,Passenger_189,male,32.2,1,0,TKT56511,158.24,,,2,Master,Economy
190,0,3,Passenger_190,male,15.6,4,3,TKT94307,42.94,,S,8,Mrs,First
191,0,1,Passenger_191,female,47.7,4,1,TKT39320,96.38,,Q,6,Mr,First
192,1,1,Passenger_192,male,17.9,2,3,TKT79876,,,C,6,Master,Business
193,1,3,Passenger_193,male,,2,3,TKT44924,175.47,E46,Q,6,Miss,Economy
194,1,1,Passenger_194,female,36.0,0,2,TKT91720,236.33,C123,S,3,Miss,Business
195,0,3,Passenger_195,male,21.0,4,3,TKT50734,248.9,,C,8,Miss,First
196,0,3,Passenger_196,male,54.9,2,0,TKT78116,115.32,,S,3,Miss,Business
197,1,3,Passenger_197,female,13.3,1,2,TKT50025,66.87,,S,4,Master,Business
198,1,3,Passenger_198,female,42.9,3,2,TKT12159,113.49,D56,Q,6,Mrs,Economy
199,1,3,Passenger_199,female,44.0,1,2,TKT58940,212.58,E46,S,4,Mrs,First
200,1,2,Passenger_200,female,20.6,3,1,TKT89436,55.47,nan,C,5,Miss,Business
201,1,3,Passenger_201,female,49.5,2,1,TKT86976,238.26,,S,4,Mrs,Economy
202,0,2,Passenger_202,female,26.5,0,3,TKT24678,88.76,,S,4,Miss,Business
203,0,3,Passenger_203,female,34.0,1,2,TKT71075,246.52,C85,Q,4,Miss,Economy
204,1,3,Passenger_204,male,33.6,1,2,TKT57204,210.46,nan,S,4,Mr,Economy
205,0,3,Passenger_205,female,28.1,1,0,TKT22021,203.1,,Q,2,Master,Business
206,0,3,Passenger_206,female,,3,3,TKT16772,82.89,,Q,7,Master,First
207,0,3,Passenger_207,female,41.1,2,0,TKT77163,7.15,,C,3,Miss,First
208,1,2,Passenger_208,male,5.5,1,3,TKT83755,98.62,D56,C,5,Master,Economy
209,0,2,Passenger_209,male,48.3,1,3,TKT33464,78.94,,C,5,Mrs,First
210,0,3,Passenger_210,female,6.7,0,1,TKT61137,14.16,C123,C,2,Miss,Economy
211,0,1,Passenger_211,female,44.5,0,1,TKT40232,128.81,,Q,2,Mr,First
212,1,1,Passenger_212,female,45.8,2,0,TKT71497,103.74,nan,S,3,Mrs,Business
213,1,2,Passenger_213,male,14.7,2,3,TKT84024,160.47,B28,C,6,Mr,First
214,0,2,Passenger_214,male,24.2,4,2,TKT61448,157.19,B28,C,7,Mr,Economy
215,1,2,Passenger_215,female,14.5,0,1,TKT94517,34.58,,C,2,Master,Economy
216,0,1,Passenger_216,male,27.0,4,2,TKT10901,244.36,D56,S,7,Master,First
217,0,1,Passenger_217,female,25.7,3,0,TKT97980,50.8,C85,C,4,Miss,Business
218,1,1,Passenger_218,male,40.9,4,1,TKT93597,114.09,,S,6,Master,Economy
219,1,3,Passenger_219,male,48.3,1,1,TKT12881,124.59,,Q,3,Mr,Economy
220,1,2,Passenger_220,female,49.5,4,3,TKT39863,204.2,B28,Q,8,Mr,Economy
221,1,2,Passenger_221,female,22.1,2,0,TKT15622,29.31,E46,Q,3,Mrs,Economy
222,0,3,Passenger_222,female,27.1,3,3,TKT11378,110.02,B28,,7,Mr,Economy
223,0,1,Passenger_223,female,6.4,1,1,TKT93168,158.98,,C,3,Miss,Business
224,0,3,Passenger_224,male,,4,0,TKT81186,57.71,C123,C,5,Miss,First
225,0,3,Passenger_225,male,,3,1,TKT55201,158.73,,C,5,Master,Business
226,0,1,Passenger_226,male,52.6,3,0,TKT69251,231.3,nan,C,4,Master,Business
227,1,2,Passenger_227,female,12.7,1,1,TKT82572,249.39,,C,3,Master,Economy
228,0,3,Passenger_228,male,21.7,4,2,TKT49255,12.95,,S,7,Miss,Business
229,1,3,Passenger_229,female,29.6,3,2,TKT73212,62.72,,Q,6,Mr,Economy
230,1,3,Passenger_230,male,33.9,3,3,TKT60210,81.03,,C,7,Master,Business
231,1,3,Passenger_231,female,18.7,0,2,TKT32499,102.79,E46,Q,3,Mrs,Economy
232,0,1,Passenger_232,female,,3,1,TKT61628,64.35,D56,S,5,Master,Economy
233,0,3,Passenger_233,male,23.4,0,1,TKT71360,54.85,E46,S,2,Miss,Business
234,0,1,Passenger_234,female,29.8,4,2,TKT14603,238.87,E46,C,7,Master,Business
235,0,3,Passenger_235,female,37.6,4,3,TKT95473,230.04,C85,S,8,Mr,First
236,1,3,Passenger_236,male,30.1,4,2,TKT22632,16.51,,Q,7,Master,First
237,0,3,Passenger_237,female,23.9,2,0,TKT40607,88.01,C85,C,3,Miss,First
238,0,3,Passenger_238,female,28.5,4,0,TKT75756,104.26,,C,5,Miss,Business
239,1,1,Passenger_239,female,28.8,3,0,TKT56994,63.56,,Q,4,Mrs,Business
240,0,1,Passenger_240,male,,1,2,TKT73382,159.07,D56,C,4,Miss,Economy
241,1,1,Passenger_241,male,26.4,0,2,TKT80354,161.89,,C,3,Mrs,First
242,1,1,Passenger_242,female,52.4,2,2,TKT66344,213.37,,Q,5,Mr,Economy
243,1,3,Passenger_243,male,37.9,4,0,TKT63775,186.51,B28,C,5,Miss,Economy
244,0,2,Passenger_244,female,25.9,4,3,TKT17349,137.93,,C,8,Master,Economy
245,0,1,Passenger_245,female,39.8,1,1,TKT81154,165.13,C85,Q,3,Mr,Economy
246,1,3,Passenger_246,female,25.3,1,2,TKT37464,72.13,C123,S,4,Master,First
247,0,3,Passenger_247,female,46.4,2,3,TKT52624,150.3,,Q,6,Master,Economy
248,1,3,Passenger_248,female,35.2,0,1,TKT47344,124.86,,C,2,Master,Business
249,1,3,Passenger_249,male,28.5,4,1,TKT93791,37.67,,Q,6,Mr,Business
250,1,1,Passenger_250,female,36.3,2,1,TKT34299,64.42,C123,C,4,Mr,Business
251,0,2,Passenger_251,male,8.0,3,3,TKT57975,76.46,,C,7,Miss,First
252,0,3,Passenger_252,male,14.2,3,3,TKT11462,231.46,,Q,7,Master,Economy
253,1,3,Passenger_253,female,13.3,2,0,TKT91441,61.44,C123,C,3,Mrs,First
254,0,1,Passenger_254,female,32.0,4,3,TKT91788,75.86,D56,S,8,Miss,Economy
255,0,3,Passenger_255,male,54.3,2,3,TKT50581,95.49,,C,6,Mr,First
256,0,1,Passenger_256,male,61.2,4,3,TKT81289,167.62,D56,Q,8,Mrs,First
257,1,1,Passenger_257,male,38.9,1,1,TKT24175,33.97,D56,S,3,Mr,Economy
258,1,3,Passenger_258,female,37.0,2,2,TKT16191,238.72,,S,5,Mrs,First
259,0,3,Passenger_259,male,4.8,4,0,TKT93434,217.06,B28,C,5,Miss,Economy
260,0,3,Passenger_260,female,22.4,2,2,TKT94518,146.42,D56,Q,5,Mrs,Business
261,0,1,Passenger_261,female,,2,2,TKT90158,170.14,nan,C,5,Miss,Business
262,1,3,Passenger_262,female,21.3,4,3,TKT76537,9.08,,C,8,Mr,Business
263,0,2,Passenger_263,male,27.6,4,0,TKT57645,88.04,,Q,5,Mrs,First
264,0,1,Passenger_264,female,23.4,0,2,TKT33283,199.94,C85,Q,3,Master,Business
265,1,3,Passenger_265,female,2.3,2,2,TKT96971,23.98,,C,5,Master,Economy
266,1,3,Passenger_266,female,40.5,3,0,TKT69123,74.17,C85,S,4,Mr,Business
267,1,3,Passenger_267,female,,2,3,TKT40024,148.4,,C,6,Mrs,Business
268,1,3,Passenger_268,female,33.3,2,2,TKT59630,67.82,,S,5,Master,First
269,0,3,Passenger_269,male,59.0,4,1,TKT40734,233.82,C85,C,6,Miss,Economy
270,0,3,Passenger_270,female,17.1,2,2,TKT10515,37.11,C85,Q,5,Mrs,First
271,1,1,Passenger_271,female,1.0,2,1,TKT76727,200.36,E46,S,4,Mrs,First
272,1,2,Passenger_272,male,26.0,3,3,TKT56216,129.45,,Q,7,Master,Economy
273,1,2,Passenger_273,female,45.4,4,2,TKT81833,188.83,C85,Q,7,Miss,First
274,1,2,Passenger_274,male,57.4,2,0,TKT68755,81.13,E46,Q,3,Miss,Economy
275,0,3,Passenger_275,female,12.8,1,0,TKT37856,131.05,D56,Q,2,Miss,Business
276,0,3,Passenger_276,male,37.0,0,2,TKT83870,214.92,,Q,3,Mrs,Economy
277,1,1,Passenger_277,male,23.5,3,3,TKT34162,119.39,,C,7,Mr,Economy
278,1,1,Passenger_278,female,28.5,2,3,TKT16008,93.13,B28,S,6,Mrs,Economy
279,1,3,Passenger_279,female,67.0,1,0,TKT17987,136.36,,C,2,Mrs,First
280,1,1,Passenger_280,female,9.0,2,2,TKT72532,180.75,C85,C,5,Master,Economy
281,1,3,Passenger_281,male,,2,3,TKT13332,113.67,,C,6,Mr,Economy
282,0,3,Passenger_282,male,36.5,4,0,TKT76323,235.02,,Q,5,Miss,Economy
283,0,3,Passenger_283,male,45.2,4,1,TKT48990,77.26,,C,6,Master,Business
284,0,3,Passenger_284,female,,4,2,TKT19873,121.49,nan,S,7,Mrs,Economy
285,0,3,Passenger_285,male,,1,1,TKT92542,190.45,,C,3,Mr,First
286,0,2,Passenger_286,male,24.5,2,1,TKT95761,173.83,C123,Q,4,Miss,Economy
287,0,3,Passenger_287,female,,0,3,TKT46444,216.59,,S,4,Miss,Economy
288,0,3,Passenger_288,male,25.2,3,3,TKT45340,249.22,D56,S,7,Mrs,Business
289,0,2,Passenger_289,male,,4,3,TKT15033,109.58,C85,S,8,Miss,Economy
290,0,3,Passenger_290,female,,4,2,TKT83324,32.23,,S,7,Miss,First
291,0,3,Passenger_291,male,35.3,2,1,TKT25689,12.45,,C,4,Mr,Economy
292,0,3,Passenger_292,female,29.6,2,2,TKT97134,183.08,B28,Q,5,Master,First
293,1,3,Passenger_293,female,45.8,1,3,TKT10066,219.13,D56,S,5,Mr,Business
294,0,3,Passenger_294,female,29.3,1,1,TKT55246,59.07,,S,3,Master,Economy
295,0,3,Passenger_295,female,,4,2,TKT17533,43.82,,Q,7,Master,Business
296,0,3,Passenger_296,female,47.7,2,2,TKT90639,20.24,nan,C,5,Master,Economy
297,1,3,Passenger_297,male,17.3,0,0,TKT80152,206.56,,S,1,Miss,First
298,0,3,Passenger_298,male,20.8,3,2,TKT69658,,,C,6,Mr,Business
299,1,3,Passenger_299,female,21.7,2,3,TKT48498,103.42,,C,6,Miss,Economy
300,0,3,Passenger_300,female,49.2,2,2,TKT21772,128.17,B28,C,5,Mrs,First
301,0,1,Passenger_301,male,1.0,1,1,TKT99385,210.67,,C,3,Mr,Business
302,0,3,Passenger_302,female,73.9,3,2,TKT59036,164.45,B28,,6,Master,Economy
